keys,en,fr,es
COMMON_BACK,Back,Retour,Volver
MENU_PLAY,Play,Jouer,Jugar
MENU_HUB,Hub,Hub,Hub
MENU_BESTIARY,Bestiary,Bestiaire,Bestiario
MENU_ARSENAL,Arsenal,Arsenal,Arsenal
MENU_CHIMERA,Chimera,Chimère,Quimera
MENU_OPTIONS,Options,Options,Opciones
MENU_QUIT,Quit,Quitter,Salir
MENU_LANGUAGE,Language,Langue,Idioma
HUB_TITLE,HUB — Permanent Upgrades,HUB — Améliorations Permanentes,HUB — Mejoras Permanentes
HUB_ECHOES,Echoes available: {0},Échos disponibles : {0},Ecos disponibles: {0}
HUB_BUY,Buy,Acheter,Comprar
HUB_MAX,MAX,MAX,MAX
HUB_COST,Cost: {0},Coût : {0},Coste: {0}
HUB_LEVEL,Lv {0}/{1},Niv {0}/{1},Niv {0}/{1}
HUB_RESET,Reset upgrades,Réinitialiser les améliorations,Reiniciar mejoras
HUB_RESET_CONFIRM,Confirm? (Echoes refunded),Confirmer ? (Échos remboursés),¿Confirmar? (Ecos reembolsados)
CHARSEL_TITLE,CHOOSE YOUR CHARACTER,CHOISIR LE PERSONNAGE,ELIGE TU PERSONAJE
CHARSEL_CHOOSE,Choose,Choisir,Elegir
CHARSEL_STATS,HP {0}  ·  Speed {1}  ·  Weapon: {2},PV {0}  ·  Vitesse {1}  ·  Arme : {2},PV {0}  ·  Velocidad {1}  ·  Arma: {2}
LEVELSEL_TITLE,CHOOSE THE LEVEL,CHOISIR LE NIVEAU,ELIGE EL NIVEL
LEVELSEL_PLAY_HERE,Play here,Jouer ici,Jugar aquí
LEVELSEL_RANDOM,Random,Aléatoire,Aleatorio
LEVELSEL_DEFEATED,DEFEATED,VAINCU,DERROTADO
LEVELUP_TITLE,Level {0}!,Niveau {0} !,¡Nivel {0}!
LEVELUP_MINIBOSS,Mini-boss loot!,Butin de mini-boss !,¡Botín de mini-jefe!
LEVELUP_HINT,Click to choose,Clic pour choisir,Clic para elegir
LEVELUP_REROLL,Reroll ({0}),Renouveler ({0}),Recargar ({0})
LEVELUP_SKIP,Skip ({0}),Passer ({0}),Saltar ({0})
RARITY_COMMON,Common,Commun,Común
RARITY_RARE,Rare,Rare,Raro
RARITY_EPIC,Epic,Épique,Épico
RUNEND_VICTORY,EXTRACTION SUCCESSFUL,EXTRACTION REUSSIE,EXTRACCIÓN EXITOSA
RUNEND_DEATH,KILLED IN ACTION,MORT EN SERVICE,CAÍDO EN COMBATE
RUNEND_TIME,Time survived,Temps survécu,Tiempo sobrevivido
RUNEND_KILLS,Enemies eliminated,Ennemis éliminés,Enemigos eliminados
RUNEND_CORES,Cores collected,Noyaux récupérés,Núcleos recogidos
RUNEND_OVERTIME_BONUS,Overload bonus,Bonus de Surcharge,Bonus de sobrecarga
RUNEND_BONUS,Run bonus,Bonus de run,Bonus de partida
RUNEND_TOTAL,TOTAL: {0} Echoes,TOTAL : {0} Échos,TOTAL: {0} Ecos
RUNEND_HUB,Back to Hub,Retour au Hub,Volver al Hub
RUNEND_REPLAY,Replay,Rejouer,Reintentar
PAUSE_TITLE,PAUSE,PAUSE,PAUSA
PAUSE_MISSION,MISSION,MISSION,MISIÓN
PAUSE_PLAYER,PLAYER,JOUEUR,JUGADOR
PAUSE_WEAPONS,WEAPONS,ARMES,ARMAS
PAUSE_PASSIVES,PASSIVES,PASSIFS,PASIVOS
PAUSE_GRAFTS,GRAFTS,GREFFES,INJERTOS
PAUSE_RESUME,RESUME  [Esc],REPRENDRE  [Échap],REANUDAR  [Esc]
PAUSE_QUIT,QUIT GAME,QUITTER LA PARTIE,SALIR DE LA PARTIDA
PAUSE_TIME_SURVIVED,Time survived,Temps survécu,Tiempo sobrevivido
PAUSE_TIME_LEFT,Time left,Temps restant,Tiempo restante
PAUSE_LEVEL,Level,Niveau,Nivel
PAUSE_XP,XP,XP,XP
PAUSE_KILLS,Enemies killed,Ennemis tués,Enemigos abatidos
PAUSE_CORES,Aether Cores,Noyaux Aether,Núcleos de Aether
PAUSE_HP,Health,Points de vie,Salud
PAUSE_SPEED,Speed,Vitesse,Velocidad
PAUSE_DMG_MULT,Damage mult.,Mult. dégâts,Mult. daño
PAUSE_DMG_REDUC,Damage taken reduc.,Réduc. dégâts reçus,Reduc. daño recibido
PAUSE_CD_REDUC,Cooldown reduc.,Réduc. cooldown,Reduc. enfriamiento
PAUSE_NONE,— none —,— aucune —,— ninguna —
PAUSE_UNAVAILABLE,unavailable,indisponible,no disponible
OPTIONS_TITLE,OPTIONS,OPTIONS,OPCIONES
OPTIONS_MASTER,Master volume,Volume général,Volumen general
OPTIONS_MUSIC,Music,Musique,Música
OPTIONS_SFX,SFX,Effets sonores,Efectos
OPTIONS_FULLSCREEN,Fullscreen,Plein écran,Pantalla completa
OPTIONS_SHAKE,Screen shake,Secousses écran,Vibración de pantalla
OPTIONS_DIFFICULTY,Difficulty,Difficulté,Dificultad
OPTIONS_LANGUAGE,Language,Langue,Idioma
OPTIONS_CONTROLS,Controls,Contrôles,Controles
OPTIONS_MOVE_UP,Move up,Haut,Arriba
OPTIONS_MOVE_DOWN,Move down,Bas,Abajo
OPTIONS_MOVE_LEFT,Move left,Gauche,Izquierda
OPTIONS_MOVE_RIGHT,Move right,Droite,Derecha
OPTIONS_DASH,Dash (dodge),Ruade (esquive),Impulso (esquiva)
OPTIONS_CONTROLS_PRESS,Press a key…,Appuyez sur une touche…,Pulsa una tecla…
OPTIONS_CONTROLS_RESET,Reset keys (ZQSD),Touches par défaut (ZQSD),Teclas por defecto (ZQSD)
DIFF_EASY,Easy,Facile,Fácil
DIFF_NORMAL,Normal,Normal,Normal
DIFF_HARD,Hard,Difficile,Difícil
INTRO_SKIP,Press any key to skip,Appuyez sur une touche pour passer,Pulsa cualquier tecla para saltar
CHAR_CHIMERA_NAME,Chimera,Chimera,Chimera
CHAR_CHIMERA_TAG,Cyborg — balanced,Cyborg — équilibré,Cyborg — equilibrado
CHAR_CHIMERA_DESC,"The versatile prototype. Balanced stats and the reliable Impulse Cannon. The best starting point to learn the loop.","Le prototype polyvalent. Stats équilibrées et le fiable Canon à Impulsions. Le bon point de départ pour apprendre la boucle.","El prototipo versátil. Estadísticas equilibradas y el fiable Cañón de Impulsos. El mejor punto de partida para aprender el bucle."
CHAR_TITAN_NAME,Titan-Guardian,Titan-Gardien,Titán-Guardián
CHAR_TITAN_TAG,Heavy robot — tank,Robot lourd — tank,Robot pesado — tanque
CHAR_TITAN_DESC,"Armored combat chassis: far more HP but slower. Starts with the Drone Swarm to soak hits and grind at melee. For playing with brute force.","Châssis de combat blindé : beaucoup plus de PV mais plus lent. Démarre avec l'Essaim de Drones pour encaisser et broyer au contact. Pour jouer en force.","Chasis de combate blindado: mucha más vida pero más lento. Empieza con el Enjambre de Drones para aguantar y triturar al contacto. Para jugar a lo bruto."
CHAR_VAGABOND_NAME,Vagabond,Vagabond,Vagabundo
CHAR_VAGABOND_TAG,Human — mobility,Humain — mobilité,Humano — movilidad
CHAR_VAGABOND_DESC,"Survivor of flesh and blood: little HP but very fast. Starts with the Plasma Blade to strike and break away. Rewards aggressive kiting and dodging.","Survivant de chair et d'os : peu de PV mais très rapide. Démarre avec la Lame Plasma pour frapper et se dégager. Récompense le kite agressif et l'esquive.","Superviviente de carne y hueso: poca vida pero muy rápido. Empieza con la Hoja de Plasma para golpear y escapar. Recompensa el kiteo agresivo y la esquiva."
CHAR_VECTEUR_NAME,Vector,Vecteur,Vector
CHAR_VECTEUR_TAG,Cyborg — precision,Cyborg — précision,Cyborg — precisión
CHAR_VECTEUR_DESC,"A precision cyborg wired for the Vector Lance: aim it yourself toward the cursor or right stick to pierce whole rows of foes. Fragile but lethal — rewards steady aim over auto-fire.","Cyborg de précision câblé pour la Lance Vectorielle : visez-la vous-même vers le curseur ou le stick droit pour transpercer des rangées entières d'ennemis. Fragile mais létal — récompense la visée maîtrisée plutôt que le tir auto.","Cyborg de precisión cableado para la Lanza Vectorial: apúntala tú mismo hacia el cursor o el stick derecho para atravesar filas enteras de enemigos. Frágil pero letal: recompensa la puntería sobre el disparo automático."
BIOME_SANCTUAIRE_NAME,Rusted Sanctuary,Sanctuaire Rouillé,Santuario Oxidado
BIOME_SANCTUAIRE_EFFECT,Neutral terrain,Terrain neutre,Terreno neutral
BIOME_SANCTUAIRE_DESC,"The original arena, steel-blue. No bonus or penalty — the right place to learn the loop.","L'arène d'origine, bleu-acier. Aucun bonus ni malus — le bon endroit pour apprendre la boucle.","La arena original, azul acero. Sin bonus ni penalización: el lugar ideal para aprender el bucle."
BIOME_AETHER_NAME,Aether Wastes,Friche d'Aether,Páramo de Aether
BIOME_AETHER_EFFECT,+20% XP,+20% d'XP,+20% de XP
BIOME_AETHER_DESC,"Ruins saturated with corrupted Aether. XP gained is increased by 20%: faster power spike.","Ruines saturées d'Aether corrompu. L'XP gagnée est augmentée de 20% : montée en puissance accélérée.","Ruinas saturadas de Aether corrupto. La XP ganada aumenta un 20%: subida de poder acelerada."
BIOME_FOURNAISE_NAME,Furnace,Fournaise,Horno
BIOME_FOURNAISE_EFFECT,Enemies +18% faster,Ennemis +18% rapides,Enemigos +18% rápidos
BIOME_FOURNAISE_DESC,"Infernal heat that overexcites the Rust. Enemies move 18% faster — for the daring.","Chaleur infernale qui surexcite la Rouille. Les ennemis se déplacent 18% plus vite — pour les téméraires.","Calor infernal que sobreexcita la Herrumbre. Los enemigos se mueven un 18% más rápido: para los temerarios."
BIOME_GIVRE_NAME,Cryogenic Frost,Givre Cryogénique,Escarcha Criogénica
BIOME_GIVRE_EFFECT,Enemies -18% slower,Ennemis -18% lents,Enemigos -18% lentos
BIOME_GIVRE_DESC,"The frost numbs everything. Enemies are 18% slower: room to breathe, kite and aim.","Le gel engourdit tout. Les ennemis sont 18% plus lents : du répit pour respirer, kiter et viser.","La escarcha lo entumece todo. Los enemigos son un 18% más lentos: un respiro para moverte, kitear y apuntar."
TAG_PASSIVE,Passive,Passif,Pasivo
TAG_ACTIVE,Active weapon,Arme active,Arma activa
TAG_FUSION,FUSION (epic),FUSION (épique),FUSIÓN (épica)
MISC_XP_BONUS_NAME,Aether Echo,Écho d'Aether,Eco de Aether
CARD_XP_BONUS,+50 XP,+50 XP,+50 XP
CARD_LEVEL," (Lv. {0})"," (Niv. {0})"," (Niv. {0})"
ENEMY_RUST_SWARM_NAME,Rust Swarm,Essaim de Rouille,Enjambre de Herrumbre
ENEMY_RUST_SWARM_TAG,Fodder — from 0:00,Fourrage — dès 0:00,Carne de cañón — desde 0:00
ENEMY_RUST_SWARM_DESC,"Mechanical husk eaten away by the Living Rust. Charges in a straight line, no cunning. Weak alone, deadly in numbers: it is the tide of the Sanctuary.","Carcasse mécanique rongée par la Rouille Vivante. Fonce en ligne droite, sans ruse. Faible isolément, mortelle en nombre : c'est la marée du Sanctuaire.","Carcasa mecánica corroída por la Herrumbre Viviente. Embiste en línea recta, sin astucia. Débil en solitario, mortal en grupo: es la marea del Santuario."
ENEMY_CORRUPTED_DRONE_NAME,Corrupted Drone,Drone Corrompu,Dron Corrupto
ENEMY_CORRUPTED_DRONE_TAG,Harasser — from 2:00,Harceleur — dès 2:00,Acosador — desde 2:00
ENEMY_CORRUPTED_DRONE_DESC,"A scout drone gone mad. Erratic path (±45°), very fast and fragile. Hard to hit, negligible if ignored… until there are ten of them.","Drone d'observation devenu fou. Trajectoire erratique (±45°), très rapide et fragile. Difficile à toucher, négligeable si on l'ignore… jusqu'à ce qu'ils soient dix.","Dron de observación enloquecido. Trayectoria errática (±45°), muy rápido y frágil. Difícil de acertar, insignificante si lo ignoras… hasta que son diez."
ENEMY_CORRUPTED_SENTINEL_NAME,Corrupted Sentinel,Sentinelle Corrompue,Centinela Corrupto
ENEMY_CORRUPTED_SENTINEL_TAG,Shooter — from 5:00,Tireur — dès 5:00,Tirador — desde 5:00
ENEMY_CORRUPTED_SENTINEL_DESC,"A walking turret that keeps its distance and shoots you down. Backs off if you approach. Forces you to keep moving and manage projectiles.","Tourelle ambulante qui maintient ses distances et te canarde. Recule si tu approches. Force à bouger en permanence et à gérer les projectiles.","Torreta ambulante que mantiene la distancia y te dispara. Retrocede si te acercas. Te obliga a moverte sin parar y a gestionar los proyectiles."
ENEMY_AETHER_REVENANT_NAME,Aether Revenant,Revenant d'Aether,Resucitado de Aether
ENEMY_AETHER_REVENANT_TAG,MINI-BOSS — midpoint 7:00,MINI-BOSS — mi-temps 7:00,MINI-JEFE — mitad 7:00
ENEMY_AETHER_REVENANT_DESC,"A cyborg specter reanimated by an unstable Aether Core. Chases you fast and lunges at you in blazing dashes. On death, drops a weapon reward.","Spectre cyborg réanimé par un Noyau d'Aether instable. Te pourchasse vite et fond sur toi par ruades fulgurantes. À sa mort, libère un butin d'arme.","Espectro cíborg reanimado por un Núcleo de Aether inestable. Te persigue veloz y se abalanza con embestidas fulgurantes. Al morir, suelta un botín de arma."
ENEMY_GRAFTED_COLOSSUS_NAME,Grafted Colossus,Colosse Greffé,Coloso Injertado
ENEMY_GRAFTED_COLOSSUS_TAG,Bruiser — from 9:00,Bruiser — dès 9:00,Tanque — desde 9:00
ENEMY_GRAFTED_COLOSSUS_DESC,"A titan of steel and grafted flesh. Slow but appallingly tough and devastating on contact. On death, releases a pure Aether Core.","Titan d'acier et de chair greffée. Lent mais effroyablement résistant et dévastateur au contact. À sa mort, relâche un Noyau d'Aether pur.","Titán de acero y carne injertada. Lento pero pavorosamente resistente y devastador al contacto. Al morir, libera un Núcleo de Aether puro."
ENEMY_RUST_STALKER_NAME,Rust Stalker,Rôdeur de Rouille,Acechador de Herrumbre
ENEMY_RUST_STALKER_TAG,MINI-BOSS — from 12:00,MINI-BOSS — dès 12:00,MINI-JEFE — desde 12:00
ENEMY_RUST_STALKER_DESC,"A corroded mechanical spider, armored and tenacious. Needs a real offensive build to fall. Reward: gold XP orb and a weapon choice.","Araignée mécanique corrodée, blindée et tenace. Nécessite un vrai build offensif pour tomber. Récompense : orbe d'XP or et choix d'arme.","Araña mecánica corroída, blindada y tenaz. Requiere un build ofensivo de verdad para caer. Recompensa: orbe de XP dorado y elección de arma."
ENEMY_RUSTED_CORE_NAME,The Rusted Core,Le Noyau Rouillé,El Núcleo Oxidado
ENEMY_RUSTED_CORE_TAG,FINAL BOSS — from 13:00,BOSS DE FIN — dès 13:00,JEFE FINAL — desde 13:00
ENEMY_RUSTED_CORE_DESC,"The corrupted heart of the Sanctuary. A guardian colossus with a molten core: radial volleys, shockwaves, huge HP. Defeating it releases 500 XP, 3 Aether Cores and a weapon choice in a final explosion.","Le cœur corrompu du Sanctuaire. Colosse-gardien au noyau en fusion : salves radiales, ondes de choc, beaucoup de PV. Le vaincre relâche 500 d'XP, 3 Noyaux d'Aether et un choix d'arme dans une explosion finale.","El corazón corrupto del Santuario. Coloso guardián con núcleo en fusión: andanadas radiales, ondas de choque, mucha vida. Vencerlo libera 500 de XP, 3 Núcleos de Aether y una elección de arma en una explosión final."
ENEMY_MASTER_SENTINEL_NAME,Master Sentinel,Sentinelle Maîtresse,Centinela Maestra
ENEMY_MASTER_SENTINEL_TAG,MINI-BOSS — from 16:00,MINI-BOSS — dès 16:00,MINI-JEFE — desde 16:00
ENEMY_MASTER_SENTINEL_DESC,"An elite version of the Sentinel. Fires in a spread and kites relentlessly. Reward: big XP orb and a weapon choice.","Version d'élite de la Sentinelle. Tire en éventail et kite sans répit. Récompense : gros orbe d'XP et choix d'arme.","Versión de élite del Centinela. Dispara en abanico y kitea sin descanso. Recompensa: gran orbe de XP y elección de arma."
ENEMY_SANCTUARY_MARKED_WALKER_NAME,Marked Walker,Marcheur Marqué,Caminante Marcado
ENEMY_SANCTUARY_MARKED_WALKER_TAG,Fodder — from 1:00,Fourrage — dès 1:00,Carne de cañón — desde 1:00
ENEMY_SANCTUARY_MARKED_WALKER_DESC,"A rusted sentry automaton marked by the Living Rust, charging straight at you without hesitation. Slightly tougher than the Rust Swarm, same relentless tide.","Automate de garde rouillé marqué par la Rouille Vivante, qui fonce droit sur toi sans hésiter. Un peu plus résistant que l'Essaim de Rouille, même marée implacable.","Autómata de guardia oxidado marcado por la Herrumbre Viviente, que embiste directo hacia ti sin dudar. Algo más resistente que el Enjambre de Herrumbre, la misma marea implacable."
ENEMY_SANCTUARY_SCOUT_DRONE_NAME,Scout Drone,Drone Éclaireur,Dron Explorador
ENEMY_SANCTUARY_SCOUT_DRONE_TAG,Harasser — from 3:00,Harceleur — dès 3:00,Acosador — desde 3:00
ENEMY_SANCTUARY_SCOUT_DRONE_DESC,"A corrupted reconnaissance drone that weaves erratically toward you. Fast and fragile — nearly a twin of the Corrupted Drone.","Ancien drone de reconnaissance corrompu qui zigzague de façon erratique vers toi. Rapide et fragile — quasi jumeau du Drone Corrompu.","Antiguo dron de reconocimiento corrupto que zigzaguea de forma errática hacia ti. Rápido y frágil, casi gemelo del Dron Corrupto."
ENEMY_SANCTUARY_WALKER_TURRET_NAME,Walking Turret,Tourelle Ambulante,Torreta Ambulante
ENEMY_SANCTUARY_WALKER_TURRET_TAG,Shooter — from 6:00,Tireur — dès 6:00,Tirador — desde 6:00
ENEMY_SANCTUARY_WALKER_TURRET_DESC,"A mobile turret chassis that keeps its distance and fires steadily. Slower to shoot than the Corrupted Sentinel, but tougher.","Tourelle sur châssis mobile qui garde ses distances et tire régulièrement. Plus lente à tirer que la Sentinelle Corrompue, mais plus résistante.","Torreta sobre chasis móvil que mantiene la distancia y dispara con regularidad. Más lenta al disparar que el Centinela Corrupto, pero más resistente."
ENEMY_SANCTUARY_MAINTENANCE_GOLEM_NAME,Maintenance Golem,Golem de Maintenance,Gólem de Mantenimiento
ENEMY_SANCTUARY_MAINTENANCE_GOLEM_TAG,Bruiser — from 10:00,Bruiser — dès 10:00,Tanque — desde 10:00
ENEMY_SANCTUARY_MAINTENANCE_GOLEM_DESC,"A heavy maintenance automaton repurposed for war. Advances relentlessly and strikes at close range — a slightly softer cousin of the Grafted Colossus.","Automate lourd de maintenance détourné de sa fonction. Avance inexorablement et frappe au contact — un cousin un peu moins coriace du Colosse Greffé.","Autómata pesado de mantenimiento desviado de su función original. Avanza sin descanso y golpea al contacto — un primo algo menos duro del Coloso Injertado."
ENEMY_AETHER_SHARD_NAME,Aether Shard,Éclat d'Aether,Fragmento de Aether
ENEMY_AETHER_SHARD_TAG,Fodder — from 1:00,Fourrage — dès 1:00,Carne de cañón — desde 1:00
ENEMY_AETHER_SHARD_DESC,"A condensed fragment of raw Aether energy, charging in a straight line. Faster and frailer than the Rust Swarm — pure volatile energy.","Fragment d'énergie Aether condensée, fonçant en ligne droite. Plus rapide et plus fragile que l'Essaim de Rouille — énergie pure et volatile.","Fragmento de energía Aether condensada que embiste en línea recta. Más rápido y frágil que el Enjambre de Herrumbre: energía pura y volátil."
ENEMY_AETHER_DRIFTING_WRAITH_NAME,Drifting Wraith,Spectre Dérivant,Espectro a la Deriva
ENEMY_AETHER_DRIFTING_WRAITH_TAG,Harasser — from 3:00,Harceleur — dès 3:00,Acosador — desde 3:00
ENEMY_AETHER_DRIFTING_WRAITH_DESC,"A spectral silhouette that drifts toward you with wide, frequent swerves — the most erratic motion in the game.","Silhouette spectrale qui dérive vers toi avec des embardées larges et fréquentes — le mouvement le plus erratique du jeu.","Silueta espectral que se desplaza hacia ti con giros amplios y frecuentes: el movimiento más errático del juego."
ENEMY_AETHER_SPECTRAL_WATCHER_NAME,Spectral Watcher,Vigile Spectral,Vigía Espectral
ENEMY_AETHER_SPECTRAL_WATCHER_TAG,Shooter — from 6:00,Tireur — dès 6:00,Tirador — desde 6:00
ENEMY_AETHER_SPECTRAL_WATCHER_DESC,"A disembodied sentinel that keeps its distance and fires bolts of raw energy. Hits harder but is frailer than the Corrupted Sentinel.","Sentinelle désincarnée qui garde ses distances et tire des décharges d'énergie brute. Frappe plus fort mais est plus fragile que la Sentinelle Corrompue.","Centinela desencarnado que mantiene la distancia y dispara descargas de energía cruda. Golpea más fuerte pero es más frágil que el Centinela Corrupto."
ENEMY_AETHER_GOLEM_NAME,Aether Golem,Golem d'Aether,Gólem de Aether
ENEMY_AETHER_GOLEM_TAG,Bruiser — from 10:00,Bruiser — dès 10:00,Tanque — desde 10:00
ENEMY_AETHER_GOLEM_DESC,"A golem of crystallized Aether energy, a notch above the Grafted Colossus in HP and damage — raw concentrated power.","Golem d'énergie Aether cristallisée, un cran au-dessus du Colosse Greffé en PV et en dégâts — puissance brute concentrée.","Gólem de energía Aether cristalizada, un escalón por encima del Coloso Injertado en PV y daño: poder bruto concentrado."
ENEMY_CINDER_CRAWLER_NAME,Cinder Crawler,Rampant de Braise,Rastreador de Ascuas
ENEMY_CINDER_CRAWLER_TAG,Fodder — from 1:00,Fourrage — dès 1:00,Carne de cañón — desde 1:00
ENEMY_CINDER_CRAWLER_DESC,"A creature of living embers, charging without deviation. More aggressive than the Rust Swarm — the Furnace's warlike nature.","Créature de braise vivante, fonçant sans dévier. Plus agressive que l'Essaim de Rouille — le tempérament belliqueux de la Fournaise.","Criatura de brasas vivas que embiste sin desviarse. Más agresiva que el Enjambre de Herrumbre: el carácter belicoso de la Fragua."
ENEMY_VOLATILE_SPARK_NAME,Volatile Spark,Étincelle Volatile,Chispa Volátil
ENEMY_VOLATILE_SPARK_TAG,Harasser — from 3:00,Harceleur — dès 3:00,Acosador — desde 3:00
ENEMY_VOLATILE_SPARK_DESC,"An unstable incandescent fragment, extremely fast and the most damaging harasser in the game — at the cost of extreme fragility.","Fragment incandescent instable, extrêmement rapide et le harceleur le plus mordant du jeu — au prix d'une extrême fragilité.","Fragmento incandescente inestable, extremadamente rápido y el acosador más dañino del juego, a costa de una fragilidad extrema."
ENEMY_LAVA_SPITTER_NAME,Lava Spitter,Cracheur de Lave,Escupidor de Lava
ENEMY_LAVA_SPITTER_TAG,Shooter — from 6:00,Tireur — dès 6:00,Tirador — desde 6:00
